 Drosophila Celegans
0 "gi|671162298|ref|NP_001288144.1| unextended, isoform H [Drosophila melanogaster]" "gi|392925573|ref|NP_508521.2| Protein C33D12.2 [Caenorhabditis elegans]"
1 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392920453|ref|NP_001256249.1| Protein GSP-1, isoform b [Caenorhabditis elegans]"
2 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392920455|ref|NP_001256250.1| Protein GSP-1, isoform a [Caenorhabditis elegans]"
3 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392921845|ref|NP_506574.2| Protein F23B12.1 [Caenorhabditis elegans]"
4 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392900580|ref|NP_501992.2| Protein T25B9.2 [Caenorhabditis elegans]"
5 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392922920|ref|NP_001256849.1| Protein PPH-5, isoform a [Caenorhabditis elegans]"
6 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392899862|ref|NP_501547.3| Protein C27B7.6 [Caenorhabditis elegans]"
7 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392900494|ref|NP_001021293.2| Protein TAX-6, isoform b [Caenorhabditis elegans]"
8 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392900492|ref|NP_001076658.2| Protein TAX-6, isoform c [Caenorhabditis elegans]"
9 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|453232270|ref|NP_502500.3| Protein F49E11.7 [Caenorhabditis elegans]"
10 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392894051|ref|NP_001254836.1| Protein PEF-1, isoform c [Caenorhabditis elegans]"
11 "gi|669632493|ref|NP_001015497.4| Pp1-Y2 [Drosophila melanogaster]" "gi|392899343|ref|NP_501110.3| Protein ZC477.10 [Caenorhabditis elegans]"
12 "gi|669632485|ref|NP_001015505.4| male fertility factor kl2, partial [Drosophila melanogaster]" "gi|392921397|ref|NP_506272.3| Protein DHC-3 [Caenorhabditis elegans]"
13 "gi|669632483|ref|NP_001104482.2| male fertility factor kl3, partial [Drosophila melanogaster]" "gi|392921397|ref|NP_506272.3| Protein DHC-3 [Caenorhabditis elegans]"
14 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392920453|ref|NP_001256249.1| Protein GSP-1, isoform b [Caenorhabditis elegans]"
15 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392920455|ref|NP_001256250.1| Protein GSP-1, isoform a [Caenorhabditis elegans]"
16 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392921845|ref|NP_506574.2| Protein F23B12.1 [Caenorhabditis elegans]"
17 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392900580|ref|NP_501992.2| Protein T25B9.2 [Caenorhabditis elegans]"
